Store,rows,sales_sum,wape,bias,err_std,TAE,RMSE,MAPE,abs_err_sum,sq_err_sum,abs_pct_err_sum,nonzero_n
619,54,205247.0,0.430262074476119,-136.74074074074073,2442.8544944250743,7384.0,2446.678587618552,0.36362446784190977,88310.0,323256750.0,17.09034998856976,47
620,54,409450.0,0.43746977652949076,-223.59259259259258,5151.201070007734,12074.0,5156.051406950003,0.2580269774260044,179122.0,1435582770.0,12.127267939022206,47
621,54,276668.0,0.3976968785692599,-135.11111111111111,3268.0179499182154,7296.0,3270.8097366452444,0.24906366803700047,110030.0,577702602.0,11.705992397739022,47
622,54,208882.0,0.41675204182265585,-116.77777777777777,2360.5934569797914,6306.0,2363.4801709594517,0.3440221777354359,87052.0,301646080.0,16.169042353565487,47
623,54,317311.0,0.42050228324892613,-178.44444444444446,3729.3038058789484,9636.0,3733.5705827393026,0.3435201998107341,133430.0,752735662.0,16.145449391104503,47
624,54,320972.0,0.45900265443714716,-163.83333333333334,3998.53780103381,8847.0,4001.8927905938967,0.35342899105757675,147327.0,864817879.0,16.611162579706107,47
625,54,301325.0,0.42276943499543684,-127.53703703703704,3704.435333153644,6887.0,3706.6301182250886,0.28645563821396824,127391.0,741911769.0,13.463414996056507,47
626,54,436876.0,0.43719270456605536,-222.6851851851852,5484.418547877162,12025.0,5488.937556576864,0.2935340278491364,190999.0,1626935517.0,13.796099308909412,47
627,54,315635.0,0.46331680580417256,-163.64814814814815,4168.815344459415,8837.0,4172.026137573037,0.2742517093342671,146239.0,939913313.0,12.889830338710555,47
628,54,289896.0,0.4545940613185418,-218.09259259259258,3430.367712006216,11777.0,3437.293560131069,0.35087662871914854,131785.0,638009299.0,16.49120154979998,47
629,54,300346.0,0.44289918960132646,-125.35185185185185,3752.196833843339,6769.0,3754.29010155937,0.2862390621307261,133023.0,761113485.0,13.453235920144126,47
630,54,278352.0,0.4288311203080991,-139.7037037037037,3249.4625973332522,7544.0,3252.4643420483944,0.45558994596702923,119366.0,571240312.0,21.412727460450373,47
631,54,263744.0,0.41352220334870177,-137.55555555555554,3122.7807448245408,7428.0,3125.808873093669,0.2729954549623953,109064.0,527616780.0,12.830786383232578,47
632,54,353935.0,0.4228601296848291,-175.2037037037037,4419.474015040241,9461.0,4422.945501292935,0.24816866060345497,149665.0,1056372133.0,11.663927048362384,47
633,54,336541.0,0.47986129476051953,-128.3148148148148,4425.539665037199,6929.0,4427.399464529773,0.2928256913237177,161493.0,1058500765.0,13.762807492214733,47
634,54,314264.0,0.47136802179059645,-147.55555555555554,4126.844286550209,7968.0,4129.481372691661,0.39312897650639994,148134.0,920841286.0,18.477061895800798,47
635,54,277566.0,0.44203901054163697,-158.16666666666666,3465.0163472972304,8541.0,3468.6243644248193,0.4994949773418177,122695.0,649693169.0,23.476263935065433,47
636,54,313735.0,0.47721803432833443,-199.33333333333334,4586.110471767907,10764.0,4590.440396850507,0.30953953285535357,149720.0,1137895724.0,14.548358044201617,47
637,54,434123.0,0.4022915164596209,-235.74074074074073,5066.169442653249,12730.0,5071.651261524053,0.2642125575968907,174644.0,1388968912.0,12.417990207053863,47
638,54,294427.0,0.40832192699718434,-150.05555555555554,3526.6057147466813,8103.0,3529.7966707782243,0.24679158432228102,120221.0,672811085.0,11.599204463147208,47
639,54,203677.0,0.42735311301717915,-104.07407407407408,2409.2713963312017,5620.0,2411.518209359837,0.363084404911605,87042.0,314032684.0,17.064967030845434,47
640,54,558752.0,0.4403295200733062,-278.01851851851853,7031.133198511647,15013.0,7036.627626345724,0.2747290567729153,246035.0,2673762931.0,12.91226566832702,47
641,54,244986.0,0.41238683026785206,-127.57407407407408,2908.3084023245456,6889.0,2911.1051007147453,0.3066278155156445,101029.0,457624777.0,14.411507329235292,47
642,54,154197.0,0.4025434995492779,-67.98148148148148,1768.446289100928,3671.0,1769.7524570569917,0.26542339136119897,62071.0,169129283.0,12.47489939397635,47
643,54,357386.0,0.41831800909940514,-243.38888888888889,4171.215856214565,13143.0,4178.310647901897,0.2906451121129418,149501.0,942747113.0,13.660320269308265,47
644,54,421158.0,0.45291790729369974,-221.40740740740742,5394.905722989525,11956.0,5399.4471013243565,0.27369737311743236,190750.0,1574317566.0,12.863776536519321,47
645,54,499515.0,0.42372100937909773,-350.6111111111111,6052.8409106390845,18933.0,6062.986989986102,0.2737082240868319,211655.0,1985029807.0,12.864286532081097,47
646,54,241046.0,0.3965384200526041,-111.4074074074074,2795.846684972382,6016.0,2798.0654560421376,0.2592404197907018,95584.0,422775196.0,12.184299730162984,47
647,54,278625.0,0.4336653207716465,-193.7037037037037,3397.109422836866,10460.0,3402.627448833556,0.3021027010880955,120830.0,625205172.0,14.198826951140488,47
648,54,300951.0,0.4332299942515559,-147.16666666666666,3700.5899066780435,7947.0,3703.5150445468944,0.27514854541145045,130381.0,740665279.0,12.931981634338172,47
649,54,169399.0,0.49714579188779157,-92.81481481481481,2224.7476600485797,5012.0,2226.682900805757,0.5374268875234979,84216.0,267738304.0,25.259063713604398,47
650,54,299108.0,0.4460228412479773,-139.05555555555554,3741.0057640350155,7509.0,3743.5892635376113,0.27413743895129106,133409.0,756780871.0,12.88445963071068,47
651,54,343912.0,0.40039603154295283,-160.87037037037038,4161.069369526417,8687.0,4164.17789894645,0.236516030757883,137701.0,936380389.0,11.1162534456205,47
652,54,320583.0,0.43435865282937647,-186.11111111111111,4017.08544919981,10050.0,4021.3943914831148,0.29747918011072105,139248.0,873267094.0,13.98152146520389,47
653,54,273080.0,0.4279734876226747,-147.75925925925927,3248.118606067354,7979.0,3251.477706793909,0.30000097401429365,116871.0,570893793.0,14.100045778671802,47
654,54,314319.0,0.45222846853037835,-156.77777777777777,3976.141930857221,8466.0,3979.231574805106,0.42212221125724936,142144.0,855051332.0,19.83974392909072,47
655,54,403322.0,0.4622113348639549,-220.4814814814815,5359.755431611978,11906.0,5364.288430945,0.2872715290406085,186420.0,1553881880.0,13.5017618649086,47
656,54,155226.0,0.4467679383608416,-84.74074074074075,1889.360759869005,4576.0,1891.2601814858986,0.29228720525913016,69350.0,193150714.0,13.737498647179118,47
657,54,257229.0,0.4246644040912961,-178.77777777777777,3105.6495692388708,9654.0,3110.7910152790305,0.2993943544650561,109236.0,522559120.0,14.071534659857635,47
658,54,271409.0,0.4285156350747396,-135.61111111111111,3305.933842500127,7323.0,3308.714092278818,0.31718159116702727,116303.0,591169803.0,14.907534784850283,47
659,54,254701.0,0.40363013886871274,-122.5,2959.410143617837,6615.0,2961.944403284462,0.2905073123044665,102805.0,473748191.0,13.653843678309926,47
660,54,248497.0,0.45382439224618404,-129.4814814814815,3086.4981939908726,6992.0,3089.2129346413717,0.3752346496520335,112774.0,515334774.0,17.636028533645575,47
661,54,336825.0,0.43921621019817414,-139.64814814814815,4223.202975965076,7541.0,4225.511209484775,0.26325644619732913,147939.0,964167029.0,12.373052971274468,47
662,54,377271.0,0.43389764916996004,-198.35185185185185,4777.562303244769,10711.0,4781.678054670611,0.2734160335060565,163697.0,1234680031.0,12.850553574784655,47
663,54,288412.0,0.4413200560309557,-149.77777777777777,3613.194809084484,8088.0,3616.297846017542,0.2706032474416036,127282.0,706190946.0,12.718352629755369,47
664,54,243603.0,0.4364314068381752,-154.25925925925927,2982.550897924554,8330.0,2986.537422798813,0.30698365093314317,106316.0,481647912.0,14.42823159385773,47
665,54,375606.0,0.41120482633397765,-175.09259259259258,4453.010152397201,9455.0,4456.451147867923,0.32074805109206755,154451.0,1072437669.0,15.075158401327176,47
666,54,343246.0,0.4768766424080689,-179.74074074074073,4740.231558592991,9706.0,4743.638051428773,0.2787651245340056,163686.0,1215113506.0,13.101960853098264,47
667,54,407011.0,0.4403640196456607,-221.94444444444446,5176.711931606732,11985.0,5181.467529499655,0.2777737893987137,179233.0,1449770711.0,13.055368101739546,47
668,54,416723.0,0.41414560751386414,-213.96296296296296,5021.037693260903,11554.0,5025.594459033346,0.2664525929480898,172584.0,1363856382.0,12.523271868560222,47
669,54,236227.0,0.4306704991385405,-116.03703703703704,2851.9107497525556,6266.0,2854.2704003858007,0.2751442999628653,101736.0,439930414.0,12.93178209825467,47
670,54,314710.0,0.42114962981792764,-184.8148148148148,3764.886954547408,9980.0,3769.4204191488507,0.27940419171655917,132540.0,767260636.0,13.13199701067828,47
671,54,329408.0,0.4115534534680396,-167.83333333333334,3857.4651086970075,9063.0,3861.1144884077958,0.27788715317270113,135569.0,805043075.0,13.060696199116954,47
672,54,392363.0,0.41337995682569456,-187.87037037037038,4736.512778195682,10145.0,4740.23718542375,0.2536959077070287,162195.0,1213371823.0,11.923707662230349,47
673,54,376924.0,0.4049516613428702,-215.1851851851852,4469.509862406715,11620.0,4474.68692469921,0.25758719778141814,152636.0,1081232446.0,12.106598295726652,47
674,54,372674.0,0.4185024981619324,-233.2037037037037,4295.617484089558,12593.0,4301.942995558756,0.3284070225034695,155965.0,999362531.0,15.435130057663065,47
675,54,174337.0,0.5327497892013744,-80.55555555555556,2246.4640913177864,4350.0,2247.9079409778133,0.47080213588297093,92878.0,272866866.0,22.127700386499633,47
676,54,507394.0,0.24116761333401657,74.53703703703704,3414.368271448278,4025.0,3415.181761336132,0.23019256358834236,122367.0,629827189.0,12.430398433770488,54
677,54,329506.0,0.4573422031768769,-186.7962962962963,4239.82099718071,10087.0,4243.933899631855,0.2933910138478021,150697.0,972592647.0,13.7893776508467,47
678,54,353360.0,0.4570013583880462,-221.4814814814815,4534.339233746644,11960.0,4539.745183744714,0.3078983667020711,161486.0,1112901462.0,14.47122323499734,47
679,54,460526.0,0.4448000764343381,-219.77777777777777,5674.623664032273,11868.0,5678.878058208329,0.30130849691247635,204842.0,1741481424.0,14.16149935488639,47
680,54,240865.0,0.43983144084860815,-132.2962962962963,2983.6155709426553,7144.0,2986.5472012317477,0.2726356459480739,105940.0,481651066.0,12.813875359559471,47
681,54,189612.0,0.3901704533468346,-89.5,2150.1037076624243,4833.0,2151.965660437848,0.2808133727944067,73981.0,250071635.0,13.198228521337114,47
682,54,613200.0,0.16824363992172212,-118.01851851851852,3078.3091528301384,6373.0,3080.570663223149,0.17064748321002896,103167.0,512455443.0,9.214964093341564,54
683,54,380931.0,0.41385185243521794,-193.3148148148148,4489.086745463829,10439.0,4493.247202850732,0.30683704312547844,157649.0,1090220603.0,14.421341026897487,47
684,54,422495.0,0.4999467449318927,-188.12962962962962,5918.69202907602,10159.0,5921.681188023599,0.30007090983282264,211225.0,1893580637.0,14.103332762142665,47
685,54,267872.0,0.4467245550113487,-141.35185185185185,3433.7183341710625,7633.0,3436.6265354915195,0.40770959712156846,119665.0,637761705.0,19.162351064713718,47
686,54,288917.0,0.4678367835745214,-139.66666666666666,3768.435710437914,7542.0,3771.02300198255,0.442482644042244,135166.0,767913182.0,20.79668426998547,47
687,54,429672.0,0.44347548827943173,-193.90740740740742,5518.8112624627665,10471.0,5522.216749941397,0.2649584557656136,190549.0,1646723403.0,12.45304742098384,47
688,54,167830.0,0.47026753262229637,-94.57407407407408,2104.122009223376,5107.0,2106.246349595694,0.5067145237961946,78925.0,239558779.0,23.815582618421146,47
689,54,312529.0,0.43072162903282574,-143.12962962962962,3810.5210980588618,7729.0,3813.2082462972867,0.29526572157579173,134613.0,785190085.0,13.87748891406221,47
690,54,256139.0,0.4031873318783942,-130.92592592592592,3014.192415961357,7070.0,3017.034557064025,0.25991326710269885,103272.0,491534866.0,12.215923553826846,47
691,54,380186.0,0.4609322805153267,-181.11111111111111,4992.295982094762,9780.0,4995.580087177805,0.2872570666679442,175240.0,1347614302.0,13.501082133393378,47
692,54,305679.0,0.47197877512030595,-138.8148148148148,4041.9708525809356,7496.0,4044.3538329288062,0.35166891250977017,144274.0,883267088.0,16.528438887959197,47
693,54,308234.0,0.48353523621664063,-148.88888888888889,4537.257634244079,8040.0,4539.699851393343,0.32968750410996245,149042.0,1112879236.0,15.495312693168236,47
694,54,393886.0,0.4313557729901545,-189.94444444444446,4933.90283280693,10257.0,4937.55770149125,0.2576740762287156,169905.0,1316491707.0,12.110681582749631,47
695,54,264144.0,0.48311148464473924,-123.98148148148148,3576.37833823207,6695.0,3578.5267116406894,0.4243575013448674,127611.0,691516085.0,19.944802563208768,47
696,54,425324.0,0.4294937506465659,-264.962962962963,4975.122827305513,14308.0,4982.173473346599,0.3076759491213072,182674.0,1340390836.0,14.460769608701439,47
697,54,512765.0,0.44062289742864663,-267.85185185185185,6405.107054956969,14464.0,6410.705187418932,0.28322995858650807,225936.0,2219245614.0,13.311808053565878,47
698,54,783421.0,0.40007607659227923,-339.037037037037,9273.929342143638,18308.0,9280.124544183422,0.24375184112905518,313428.0,4650518424.0,11.456336533065594,47
699,54,360857.0,0.4026553454692579,-212.0185185185185,4287.619802842964,11449.0,4292.858654314852,0.25620618536771234,145301.0,995146313.0,12.04169071228248,47
